"SiteID","Date","Benzene","BenzCen"
420,"2/1/2010",0.9328,"FALSE"
420,"2/7/2010",0.7316,"FALSE"
420,"2/13/2010",1.0542,"FALSE"
420,"2/19/2010",1.1693,"FALSE"
420,"2/25/2010",0.8562,"FALSE"
420,"3/3/2010",1.5334,"FALSE"
420,"3/9/2010",0.6485,"FALSE"
420,"3/15/2010",1.1597,"FALSE"
420,"3/21/2010",0.4792,"FALSE"
420,"3/27/2010",0.4377,"FALSE"
420,"4/2/2010",0.4664,"FALSE"
420,"4/20/2010",0.5878,"FALSE"
420,"4/26/2010",0.3259,"FALSE"
420,"5/2/2010",0.3642,"FALSE"
420,"5/8/2010",0.6421,"FALSE"
420,"5/14/2010",0.4888,"FALSE"
420,"5/20/2010",0.4856,"FALSE"
420,"5/26/2010",0.7539,"FALSE"
420,"6/1/2010",0.3802,"FALSE"
420,"6/7/2010",0.2843,"FALSE"
420,"6/13/2010",0.5271,"FALSE"
420,"6/19/2010",0.4089,"FALSE"
420,"6/25/2010",0.4025,"FALSE"
420,"7/1/2010",0.3003,"FALSE"
420,"7/7/2010",0.575,"FALSE"
420,"7/13/2010",0.4249,"FALSE"
420,"7/19/2010",0.5399000000000001,"FALSE"
420,"7/25/2010",0.607,"FALSE"
420,"7/31/2010",0.7124,"FALSE"
420,"8/6/2010",0.6677,"FALSE"
420,"8/12/2010",0.8338,"FALSE"
420,"8/18/2010",0.361,"FALSE"
420,"8/24/2010",0.6038,"FALSE"
420,"8/30/2010",0.2779,"FALSE"
420,"9/5/2010",0.5239,"FALSE"
420,"9/11/2010",0.4952,"FALSE"
420,"9/17/2010",0.4345,"FALSE"
420,"9/23/2010",0.3003,"FALSE"
420,"9/29/2010",0.4345,"FALSE"
420,"10/5/2010",0.2747,"FALSE"
420,"10/11/2010",1.329,"FALSE"
420,"10/17/2010",0.5207000000000001,"FALSE"
420,"10/23/2010",0.5143,"FALSE"
420,"10/29/2010",0.3642,"FALSE"
420,"11/4/2010",0.5431,"FALSE"
